FID	IID	fraction_extreme_NA
line_21	line_21	0.32692308
line_26	line_26	0.28846154
line_28	line_28	0.16666667
line_31	line_31	0.00000000
line_32	line_32	0.57142857
line_38	line_38	0.37500000
line_40	line_40	0.44230769
line_41	line_41	0.44680851
line_42	line_42	0.26923077
line_45	line_45	0.32692308
line_48	line_48	0.28571429
line_49	line_49	0.45454545
line_57	line_57	0.26923077
line_59	line_59	0.23076923
line_69	line_69	0.23076923
line_73	line_73	0.23404255
line_75	line_75	0.23076923
line_83	line_83	0.19230769
line_85	line_85	0.54901961
line_88	line_88	0.51219512
line_91	line_91	0.38461538
line_93	line_93	0.13461538
line_100	line_100	0.57142857
line_101	line_101	0.38461538
line_105	line_105	0.29787234
line_109	line_109	0.75609756
line_129	line_129	0.40384615
line_136	line_136	0.17073171
line_138	line_138	0.35416667
line_142	line_142	0.28846154
line_149	line_149	0.42307692
line_153	line_153	0.43750000
line_158	line_158	0.76923077
line_161	line_161	0.34042553
line_176	line_176	0.23076923
line_177	line_177	0.25000000
line_181	line_181	0.29787234
line_189	line_189	0.23809524
line_195	line_195	0.40384615
line_208	line_208	0.44642857
line_217	line_217	0.46153846
line_223	line_223	1.00000000
line_227	line_227	0.30769231
line_228	line_228	0.40384615
line_229	line_229	0.38461538
line_233	line_233	0.47222222
line_235	line_235	0.25000000
line_237	line_237	0.25000000
line_239	line_239	0.34615385
line_256	line_256	0.15217391
line_280	line_280	0.15384615
line_287	line_287	0.56862745
line_301	line_301	0.51428571
line_303	line_303	0.61538462
line_304	line_304	0.65714286
line_306	line_306	0.56756757
line_307	line_307	0.30000000
line_309	line_309	0.28846154
line_310	line_310	0.28846154
line_313	line_313	0.38888889
line_315	line_315	0.53846154
line_317	line_317	0.50000000
line_318	line_318	0.03846154
line_319	line_319	0.14285714
line_320	line_320	0.30769231
line_321	line_321	0.48076923
line_324	line_324	0.50000000
line_325	line_325	0.40000000
line_332	line_332	0.36538462
line_335	line_335	0.51923077
line_336	line_336	0.42105263
line_338	line_338	0.51923077
line_340	line_340	0.47619048
line_348	line_348	0.42857143
line_350	line_350	0.31707317
line_352	line_352	0.46153846
line_354	line_354	0.14285714
line_355	line_355	0.00000000
line_356	line_356	0.50000000
line_357	line_357	0.30357143
line_358	line_358	0.26785714
line_359	line_359	0.34615385
line_360	line_360	0.75000000
line_361	line_361	0.47619048
line_362	line_362	0.55357143
line_365	line_365	0.26785714
line_367	line_367	0.32692308
line_370	line_370	0.28846154
line_371	line_371	0.55769231
line_373	line_373	0.25531915
line_374	line_374	0.26923077
line_375	line_375	0.54545455
line_377	line_377	0.48076923
line_379	line_379	0.42857143
line_380	line_380	0.41071429
line_381	line_381	0.40384615
line_382	line_382	0.14285714
line_383	line_383	0.23404255
line_385	line_385	0.42857143
line_386	line_386	0.45833333
line_390	line_390	0.00000000
line_391	line_391	0.42857143
line_392	line_392	0.42307692
line_395	line_395	0.00000000
line_397	line_397	0.57142857
line_399	line_399	0.15686275
line_405	line_405	0.53846154
line_406	line_406	0.46153846
line_409	line_409	0.53191489
line_426	line_426	0.28846154
line_427	line_427	0.35555556
line_437	line_437	0.33928571
line_439	line_439	0.31250000
line_440	line_440	0.30769231
line_441	line_441	0.19230769
line_443	line_443	0.48076923
line_461	line_461	0.51162791
line_486	line_486	0.60000000
line_491	line_491	0.25000000
line_492	line_492	0.14705882
line_502	line_502	0.30769231
line_505	line_505	0.00000000
line_508	line_508	0.23076923
line_509	line_509	0.28846154
line_513	line_513	0.34042553
line_517	line_517	0.57692308
line_528	line_528	0.14285714
line_530	line_530	0.28571429
line_531	line_531	0.41176471
line_535	line_535	0.21153846
line_551	line_551	0.42857143
line_555	line_555	0.28571429
line_559	line_559	0.28571429
line_563	line_563	0.17307692
line_566	line_566	0.57142857
line_584	line_584	0.42857143
line_589	line_589	0.28846154
line_595	line_595	0.32692308
line_596	line_596	0.00000000
line_627	line_627	0.28571429
line_630	line_630	0.85714286
line_634	line_634	0.00000000
line_639	line_639	0.16363636
line_642	line_642	0.19230769
line_646	line_646	0.53191489
line_703	line_703	0.25531915
line_705	line_705	0.30357143
line_707	line_707	0.35294118
line_712	line_712	0.19642857
line_714	line_714	0.37254902
line_716	line_716	0.32692308
line_721	line_721	0.11538462
line_727	line_727	0.51282051
line_730	line_730	0.57692308
line_732	line_732	0.25000000
line_737	line_737	0.42553191
line_738	line_738	0.57692308
line_748	line_748	0.47619048
line_757	line_757	0.42222222
line_761	line_761	0.30769231
line_765	line_765	0.16071429
line_774	line_774	0.50000000
line_776	line_776	0.30769231
line_783	line_783	0.25531915
line_786	line_786	0.40000000
line_787	line_787	0.28846154
line_790	line_790	0.08510638
line_796	line_796	0.26923077
line_799	line_799	0.28571429
line_801	line_801	0.55769231
line_802	line_802	0.64583333
line_804	line_804	0.40384615
line_805	line_805	0.17307692
line_808	line_808	0.34615385
line_810	line_810	0.26923077
line_812	line_812	0.28846154
line_818	line_818	0.38461538
line_819	line_819	0.33333333
line_820	line_820	0.30357143
line_821	line_821	0.71428571
line_822	line_822	0.36538462
line_832	line_832	0.51923077
line_837	line_837	0.36538462
line_843	line_843	0.61904762
line_849	line_849	0.33333333
line_850	line_850	0.38095238
line_852	line_852	0.41071429
line_853	line_853	0.31578947
line_855	line_855	0.38461538
line_857	line_857	0.51923077
line_859	line_859	0.21568627
line_861	line_861	0.51923077
line_879	line_879	0.48076923
line_882	line_882	0.13461538
line_884	line_884	0.36538462
line_887	line_887	0.25000000
line_890	line_890	0.23076923
line_892	line_892	0.48936170
line_894	line_894	0.37777778
line_897	line_897	0.34615385
line_900	line_900	0.71428571
line_907	line_907	0.28846154
line_908	line_908	0.59615385
line_911	line_911	0.25531915
line_913	line_913	0.47619048
