FID	IID	low_extreme_F
line_21	line_21	0.13432836
line_26	line_26	0.31884058
line_28	line_28	0.09589041
line_31	line_31	0.19047619
line_32	line_32	0.24000000
line_38	line_38	0.17808219
line_40	line_40	0.10714286
line_41	line_41	0.01666667
line_42	line_42	0.37500000
line_45	line_45	0.15492958
line_48	line_48	0.15384615
line_49	line_49	0.13043478
line_57	line_57	0.04411765
line_59	line_59	0.10958904
line_69	line_69	0.20289855
line_73	line_73	0.20833333
line_75	line_75	0.08219178
line_83	line_83	0.18918919
line_85	line_85	0.19178082
line_88	line_88	0.04615385
line_91	line_91	0.07246377
line_93	line_93	0.18309859
line_100	line_100	0.24000000
line_101	line_101	0.08108108
line_105	line_105	0.04166667
line_109	line_109	0.10000000
line_129	line_129	0.17808219
line_136	line_136	0.04054054
line_138	line_138	0.16901408
line_142	line_142	0.11594203
line_149	line_149	0.15873016
line_153	line_153	0.07462687
line_158	line_158	0.05633803
line_161	line_161	0.12903226
line_176	line_176	0.08571429
line_177	line_177	0.29850746
line_181	line_181	0.13043478
line_189	line_189	0.28000000
line_195	line_195	0.05882353
line_208	line_208	0.18750000
line_217	line_217	0.10810811
line_223	line_223	0.16666667
line_227	line_227	0.12121212
line_228	line_228	0.10144928
line_229	line_229	0.28571429
line_233	line_233	0.16393443
line_235	line_235	0.43939394
line_237	line_237	0.04347826
line_239	line_239	0.09333333
line_256	line_256	0.15254237
line_280	line_280	0.09523810
line_287	line_287	0.13636364
line_301	line_301	0.05263158
line_303	line_303	0.11594203
line_304	line_304	0.17567568
line_306	line_306	0.20833333
line_307	line_307	0.31884058
line_309	line_309	0.16666667
line_310	line_310	0.18032787
line_313	line_313	0.11428571
line_315	line_315	0.17105263
line_317	line_317	0.10294118
line_318	line_318	0.16666667
line_319	line_319	0.11363636
line_320	line_320	0.30769231
line_321	line_321	0.10526316
line_324	line_324	0.21052632
line_325	line_325	0.36842105
line_332	line_332	0.15942029
line_335	line_335	0.28947368
line_336	line_336	0.15254237
line_338	line_338	0.08450704
line_340	line_340	0.18867925
line_348	line_348	0.33333333
line_350	line_350	0.05633803
line_352	line_352	0.20895522
line_354	line_354	0.04000000
line_355	line_355	0.10526316
line_356	line_356	0.25000000
line_357	line_357	0.21917808
line_358	line_358	0.10666667
line_359	line_359	0.08571429
line_360	line_360	0.28571429
line_361	line_361	0.13333333
line_362	line_362	0.08219178
line_365	line_365	0.15000000
line_367	line_367	0.14285714
line_370	line_370	0.08219178
line_371	line_371	0.29032258
line_373	line_373	0.09589041
line_374	line_374	0.18571429
line_375	line_375	0.08823529
line_377	line_377	0.07246377
line_379	line_379	0.10000000
line_380	line_380	0.17948718
line_381	line_381	0.21212121
line_382	line_382	0.36363636
line_383	line_383	0.10000000
line_385	line_385	0.22222222
line_386	line_386	0.18571429
line_390	line_390	0.26086957
line_391	line_391	0.09333333
line_392	line_392	0.08695652
line_395	line_395	0.14285714
line_397	line_397	0.21739130
line_399	line_399	0.21333333
line_405	line_405	0.11320755
line_406	line_406	0.19642857
line_409	line_409	0.32307692
line_426	line_426	0.25373134
line_427	line_427	0.19230769
line_437	line_437	0.11250000
line_439	line_439	0.17391304
line_440	line_440	0.08000000
line_441	line_441	0.11764706
line_443	line_443	0.06666667
line_461	line_461	0.45454545
line_486	line_486	0.19736842
line_491	line_491	0.16176471
line_492	line_492	0.26470588
line_502	line_502	0.17391304
line_505	line_505	0.14285714
line_508	line_508	0.20895522
line_509	line_509	0.16666667
line_513	line_513	0.22641509
line_517	line_517	0.18918919
line_528	line_528	0.04000000
line_530	line_530	0.09302326
line_531	line_531	0.08333333
line_535	line_535	0.09859155
line_551	line_551	0.05000000
line_555	line_555	0.11392405
line_559	line_559	0.15000000
line_563	line_563	0.14754098
line_566	line_566	0.07692308
line_584	line_584	0.25862069
line_589	line_589	0.09459459
line_595	line_595	0.10447761
line_596	line_596	0.26315789
line_627	line_627	0.07692308
line_630	line_630	0.10000000
line_634	line_634	0.15000000
line_639	line_639	0.15068493
line_642	line_642	0.11940299
line_646	line_646	0.25000000
line_703	line_703	0.20000000
line_705	line_705	0.24285714
line_707	line_707	0.10810811
line_712	line_712	0.18918919
line_714	line_714	0.12658228
line_716	line_716	0.05797101
line_721	line_721	0.15277778
line_727	line_727	0.25714286
line_730	line_730	0.14666667
line_732	line_732	0.18181818
line_737	line_737	0.02857143
line_738	line_738	0.12500000
line_748	line_748	0.03278689
line_757	line_757	0.46666667
line_761	line_761	0.20547945
line_765	line_765	0.30555556
line_774	line_774	0.15384615
line_776	line_776	0.07142857
line_783	line_783	0.05797101
line_786	line_786	0.06666667
line_787	line_787	0.15942029
line_790	line_790	0.19444444
line_796	line_796	0.21126761
line_799	line_799	0.18461538
line_801	line_801	0.20547945
line_802	line_802	0.11111111
line_804	line_804	0.20289855
line_805	line_805	0.18571429
line_808	line_808	0.18055556
line_810	line_810	0.23076923
line_812	line_812	0.10000000
line_818	line_818	0.11111111
line_819	line_819	0.17543860
line_820	line_820	0.11428571
line_821	line_821	0.13207547
line_822	line_822	0.17142857
line_832	line_832	0.22950820
line_837	line_837	0.07462687
line_843	line_843	0.20689655
line_849	line_849	0.20000000
line_850	line_850	0.26785714
line_852	line_852	0.13888889
line_853	line_853	0.09375000
line_855	line_855	0.16438356
line_857	line_857	0.16901408
line_859	line_859	0.03846154
line_861	line_861	0.07692308
line_879	line_879	0.05714286
line_882	line_882	0.15068493
line_884	line_884	0.25373134
line_887	line_887	0.40000000
line_890	line_890	0.08450704
line_892	line_892	0.19178082
line_894	line_894	0.12500000
line_897	line_897	0.15384615
line_900	line_900	0.06666667
line_907	line_907	0.12676056
line_908	line_908	0.17647059
line_911	line_911	0.30158730
line_913	line_913	0.09523810
