FID	IID	total_nr_phenotypes_F
line_21	line_21	67.0
line_26	line_26	69.0
line_28	line_28	73.0
line_31	line_31	21.0
line_32	line_32	25.0
line_38	line_38	73.0
line_40	line_40	56.0
line_41	line_41	60.0
line_42	line_42	72.0
line_45	line_45	71.0
line_48	line_48	26.0
line_49	line_49	69.0
line_57	line_57	68.0
line_59	line_59	73.0
line_69	line_69	69.0
line_73	line_73	72.0
line_75	line_75	73.0
line_83	line_83	74.0
line_85	line_85	73.0
line_88	line_88	65.0
line_91	line_91	69.0
line_93	line_93	71.0
line_100	line_100	25.0
line_101	line_101	74.0
line_105	line_105	72.0
line_109	line_109	70.0
line_129	line_129	73.0
line_136	line_136	74.0
line_138	line_138	71.0
line_142	line_142	69.0
line_149	line_149	63.0
line_153	line_153	67.0
line_158	line_158	71.0
line_161	line_161	62.0
line_176	line_176	70.0
line_177	line_177	67.0
line_181	line_181	69.0
line_189	line_189	50.0
line_195	line_195	68.0
line_208	line_208	80.0
line_217	line_217	74.0
line_223	line_223	60.0
line_227	line_227	66.0
line_228	line_228	69.0
line_229	line_229	70.0
line_233	line_233	61.0
line_235	line_235	66.0
line_237	line_237	69.0
line_239	line_239	75.0
line_256	line_256	59.0
line_280	line_280	63.0
line_287	line_287	66.0
line_301	line_301	76.0
line_303	line_303	69.0
line_304	line_304	74.0
line_306	line_306	72.0
line_307	line_307	69.0
line_309	line_309	72.0
line_310	line_310	61.0
line_313	line_313	70.0
line_315	line_315	76.0
line_317	line_317	68.0
line_318	line_318	72.0
line_319	line_319	44.0
line_320	line_320	52.0
line_321	line_321	57.0
line_324	line_324	76.0
line_325	line_325	57.0
line_332	line_332	69.0
line_335	line_335	76.0
line_336	line_336	59.0
line_338	line_338	71.0
line_340	line_340	53.0
line_348	line_348	21.0
line_350	line_350	71.0
line_352	line_352	67.0
line_354	line_354	25.0
line_355	line_355	19.0
line_356	line_356	68.0
line_357	line_357	73.0
line_358	line_358	75.0
line_359	line_359	70.0
line_360	line_360	77.0
line_361	line_361	60.0
line_362	line_362	73.0
line_365	line_365	80.0
line_367	line_367	63.0
line_370	line_370	73.0
line_371	line_371	62.0
line_373	line_373	73.0
line_374	line_374	70.0
line_375	line_375	68.0
line_377	line_377	69.0
line_379	line_379	80.0
line_380	line_380	78.0
line_381	line_381	66.0
line_382	line_382	55.0
line_383	line_383	70.0
line_385	line_385	54.0
line_386	line_386	70.0
line_390	line_390	23.0
line_391	line_391	75.0
line_392	line_392	69.0
line_395	line_395	21.0
line_397	line_397	23.0
line_399	line_399	75.0
line_405	line_405	53.0
line_406	line_406	56.0
line_409	line_409	65.0
line_426	line_426	67.0
line_427	line_427	78.0
line_437	line_437	80.0
line_439	line_439	46.0
line_440	line_440	75.0
line_441	line_441	68.0
line_443	line_443	75.0
line_461	line_461	66.0
line_486	line_486	76.0
line_491	line_491	68.0
line_492	line_492	68.0
line_502	line_502	69.0
line_505	line_505	21.0
line_508	line_508	67.0
line_509	line_509	54.0
line_513	line_513	53.0
line_517	line_517	74.0
line_528	line_528	25.0
line_530	line_530	43.0
line_531	line_531	48.0
line_535	line_535	71.0
line_551	line_551	20.0
line_555	line_555	79.0
line_559	line_559	20.0
line_563	line_563	61.0
line_566	line_566	26.0
line_584	line_584	58.0
line_589	line_589	74.0
line_595	line_595	67.0
line_596	line_596	19.0
line_627	line_627	26.0
line_630	line_630	20.0
line_634	line_634	20.0
line_639	line_639	73.0
line_642	line_642	67.0
line_646	line_646	60.0
line_703	line_703	70.0
line_705	line_705	70.0
line_707	line_707	74.0
line_712	line_712	74.0
line_714	line_714	79.0
line_716	line_716	69.0
line_721	line_721	72.0
line_727	line_727	70.0
line_730	line_730	75.0
line_732	line_732	77.0
line_737	line_737	70.0
line_738	line_738	72.0
line_748	line_748	61.0
line_757	line_757	60.0
line_761	line_761	73.0
line_765	line_765	72.0
line_774	line_774	78.0
line_776	line_776	70.0
line_783	line_783	69.0
line_786	line_786	75.0
line_787	line_787	69.0
line_790	line_790	72.0
line_796	line_796	71.0
line_799	line_799	65.0
line_801	line_801	73.0
line_802	line_802	72.0
line_804	line_804	69.0
line_805	line_805	70.0
line_808	line_808	72.0
line_810	line_810	65.0
line_812	line_812	70.0
line_818	line_818	63.0
line_819	line_819	57.0
line_820	line_820	70.0
line_821	line_821	53.0
line_822	line_822	70.0
line_832	line_832	61.0
line_837	line_837	67.0
line_843	line_843	58.0
line_849	line_849	60.0
line_850	line_850	56.0
line_852	line_852	72.0
line_853	line_853	64.0
line_855	line_855	73.0
line_857	line_857	71.0
line_859	line_859	52.0
line_861	line_861	65.0
line_879	line_879	70.0
line_882	line_882	73.0
line_884	line_884	67.0
line_887	line_887	55.0
line_890	line_890	71.0
line_892	line_892	73.0
line_894	line_894	72.0
line_897	line_897	65.0
line_900	line_900	60.0
line_907	line_907	71.0
line_908	line_908	68.0
line_911	line_911	63.0
line_913	line_913	63.0
