FID	IID	total_nr_phenotypes_M
line_21	line_21	81.0
line_26	line_26	79.0
line_28	line_28	80.0
line_31	line_31	18.0
line_32	line_32	22.0
line_38	line_38	79.0
line_40	line_40	46.0
line_41	line_41	42.0
line_42	line_42	78.0
line_45	line_45	77.0
line_48	line_48	23.0
line_49	line_49	78.0
line_57	line_57	75.0
line_59	line_59	81.0
line_69	line_69	77.0
line_73	line_73	78.0
line_75	line_75	79.0
line_83	line_83	80.0
line_85	line_85	81.0
line_88	line_88	73.0
line_91	line_91	80.0
line_93	line_93	62.0
line_100	line_100	22.0
line_101	line_101	79.0
line_105	line_105	52.0
line_109	line_109	74.0
line_129	line_129	62.0
line_136	line_136	81.0
line_138	line_138	79.0
line_142	line_142	75.0
line_149	line_149	69.0
line_153	line_153	75.0
line_158	line_158	77.0
line_161	line_161	74.0
line_176	line_176	76.0
line_177	line_177	75.0
line_181	line_181	73.0
line_189	line_189	37.0
line_195	line_195	75.0
line_208	line_208	86.0
line_217	line_217	80.0
line_223	line_223	38.0
line_227	line_227	45.0
line_228	line_228	76.0
line_229	line_229	79.0
line_233	line_233	71.0
line_235	line_235	73.0
line_237	line_237	75.0
line_239	line_239	81.0
line_256	line_256	70.0
line_280	line_280	73.0
line_287	line_287	74.0
line_301	line_301	59.0
line_303	line_303	54.0
line_304	line_304	56.0
line_306	line_306	81.0
line_307	line_307	63.0
line_309	line_309	76.0
line_310	line_310	73.0
line_313	line_313	56.0
line_315	line_315	83.0
line_317	line_317	48.0
line_318	line_318	80.0
line_319	line_319	29.0
line_320	line_320	42.0
line_321	line_321	46.0
line_324	line_324	83.0
line_325	line_325	71.0
line_332	line_332	77.0
line_335	line_335	55.0
line_336	line_336	71.0
line_338	line_338	78.0
line_340	line_340	33.0
line_348	line_348	18.0
line_350	line_350	79.0
line_352	line_352	75.0
line_354	line_354	22.0
line_355	line_355	16.0
line_356	line_356	75.0
line_357	line_357	85.0
line_358	line_358	84.0
line_359	line_359	77.0
line_360	line_360	84.0
line_361	line_361	41.0
line_362	line_362	84.0
line_365	line_365	86.0
line_367	line_367	73.0
line_370	line_370	81.0
line_371	line_371	45.0
line_373	line_373	79.0
line_374	line_374	74.0
line_375	line_375	84.0
line_377	line_377	75.0
line_379	line_379	86.0
line_380	line_380	84.0
line_381	line_381	73.0
line_382	line_382	36.0
line_383	line_383	80.0
line_385	line_385	36.0
line_386	line_386	59.0
line_390	line_390	23.0
line_391	line_391	84.0
line_392	line_392	75.0
line_395	line_395	18.0
line_397	line_397	23.0
line_399	line_399	85.0
line_405	line_405	42.0
line_406	line_406	45.0
line_409	line_409	46.0
line_426	line_426	71.0
line_427	line_427	82.0
line_437	line_437	86.0
line_439	line_439	41.0
line_440	line_440	81.0
line_441	line_441	72.0
line_443	line_443	81.0
line_461	line_461	73.0
line_486	line_486	81.0
line_491	line_491	73.0
line_492	line_492	76.0
line_502	line_502	74.0
line_505	line_505	18.0
line_508	line_508	74.0
line_509	line_509	69.0
line_513	line_513	42.0
line_517	line_517	87.0
line_528	line_528	22.0
line_530	line_530	33.0
line_531	line_531	42.0
line_535	line_535	78.0
line_551	line_551	17.0
line_555	line_555	85.0
line_559	line_559	17.0
line_563	line_563	75.0
line_566	line_566	23.0
line_584	line_584	36.0
line_589	line_589	81.0
line_595	line_595	74.0
line_596	line_596	16.0
line_627	line_627	23.0
line_630	line_630	17.0
line_634	line_634	17.0
line_639	line_639	85.0
line_642	line_642	73.0
line_646	line_646	71.0
line_703	line_703	78.0
line_705	line_705	56.0
line_707	line_707	84.0
line_712	line_712	82.0
line_714	line_714	84.0
line_716	line_716	77.0
line_721	line_721	79.0
line_727	line_727	59.0
line_730	line_730	86.0
line_732	line_732	85.0
line_737	line_737	81.0
line_738	line_738	79.0
line_748	line_748	40.0
line_757	line_757	47.0
line_761	line_761	78.0
line_765	line_765	84.0
line_774	line_774	86.0
line_776	line_776	80.0
line_783	line_783	76.0
line_786	line_786	83.0
line_787	line_787	79.0
line_790	line_790	79.0
line_796	line_796	80.0
line_799	line_799	79.0
line_801	line_801	80.0
line_802	line_802	79.0
line_804	line_804	76.0
line_805	line_805	60.0
line_808	line_808	81.0
line_810	line_810	73.0
line_812	line_812	79.0
line_818	line_818	73.0
line_819	line_819	38.0
line_820	line_820	80.0
line_821	line_821	31.0
line_822	line_822	81.0
line_832	line_832	74.0
line_837	line_837	74.0
line_843	line_843	36.0
line_849	line_849	41.0
line_850	line_850	36.0
line_852	line_852	81.0
line_853	line_853	70.0
line_855	line_855	81.0
line_857	line_857	76.0
line_859	line_859	42.0
line_861	line_861	75.0
line_879	line_879	77.0
line_882	line_882	63.0
line_884	line_884	74.0
line_887	line_887	43.0
line_890	line_890	80.0
line_892	line_892	78.0
line_894	line_894	77.0
line_897	line_897	73.0
line_900	line_900	40.0
line_907	line_907	78.0
line_908	line_908	75.0
line_911	line_911	79.0
line_913	line_913	41.0
