DGRP	sex	Arya_Longevity_F
DGRP_021	F	49.76
DGRP_026	F	46.39
DGRP_028	F	54
DGRP_032	F	52.56
DGRP_038	F	48.27
DGRP_040	F	56.84
DGRP_042	F	45.8
DGRP_045	F	48.27
DGRP_048	F	57.83
DGRP_049	F	53.84
DGRP_059	F	58.52
DGRP_069	F	45.13
DGRP_073	F	52.33
DGRP_075	F	44.56
DGRP_083	F	68.4
DGRP_085	F	41.95
DGRP_088	F	58.79
DGRP_091	F	53.64
DGRP_093	F	46.58
DGRP_100	F	63.08
DGRP_101	F	75.83
DGRP_105	F	63.89
DGRP_109	F	60.6
DGRP_129	F	58.13
DGRP_136	F	76.56
DGRP_138	F	40.64
DGRP_158	F	54.85
DGRP_208	F	53.76
DGRP_217	F	67.52
DGRP_223	F	48.73
DGRP_229	F	45.27
DGRP_239	F	68.48
DGRP_301	F	63
DGRP_303	F	57.36
DGRP_304	F	74.76
DGRP_306	F	58.78
DGRP_307	F	44.64
DGRP_309	F	52.57
DGRP_313	F	80.29
DGRP_315	F	66.92
DGRP_317	F	53.76
DGRP_318	F	49.36
DGRP_319	F	62.17
DGRP_321	F	49.46
DGRP_324	F	48
DGRP_325	F	42.61
DGRP_332	F	55.92
DGRP_335	F	67.75
DGRP_336	F	58.25
DGRP_338	F	60.89
DGRP_350	F	59.25
DGRP_354	F	59.83
DGRP_357	F	58.36
DGRP_358	F	62.67
DGRP_359	F	56.28
DGRP_360	F	39.91
DGRP_361	F	48.4
DGRP_362	F	60.33
DGRP_365	F	48.24
DGRP_370	F	56.82
DGRP_373	F	68.24
DGRP_375	F	62.6
DGRP_379	F	68.08
DGRP_380	F	57.96
DGRP_383	F	56.84
DGRP_390	F	57.8
DGRP_391	F	49.55
DGRP_397	F	54.75
DGRP_399	F	59.26
DGRP_406	F	58
DGRP_427	F	52.08
DGRP_437	F	57.76
DGRP_440	F	65
DGRP_443	F	60.64
DGRP_486	F	65.33
DGRP_492	F	62.79
DGRP_517	F	63.2
DGRP_528	F	51.08
DGRP_555	F	51.44
DGRP_566	F	65.32
DGRP_589	F	65.96
DGRP_627	F	65.17
DGRP_639	F	75.82
DGRP_703	F	32.6
DGRP_705	F	63.67
DGRP_707	F	60.64
DGRP_712	F	45.52
DGRP_714	F	69.28
DGRP_721	F	43.36
DGRP_730	F	53.28
DGRP_732	F	66.76
DGRP_737	F	53.16
DGRP_738	F	59.88
DGRP_748	F	58.17
DGRP_757	F	29.65
DGRP_761	F	46.8
DGRP_765	F	33.96
DGRP_774	F	64.36
DGRP_776	F	59.75
DGRP_786	F	53.83
DGRP_787	F	44.92
DGRP_790	F	49.48
DGRP_796	F	42.32
DGRP_799	F	60
DGRP_801	F	69.44
DGRP_802	F	49.84
DGRP_804	F	67.24
DGRP_805	F	51.17
DGRP_808	F	52.48
DGRP_812	F	57.04
DGRP_819	F	40.4
DGRP_820	F	38.92
DGRP_822	F	53.58
DGRP_837	F	60.09
DGRP_849	F	58.05
DGRP_852	F	49.88
DGRP_853	F	47.32
DGRP_855	F	54.58
DGRP_857	F	54.83
DGRP_859	F	60.84
DGRP_861	F	55.67
DGRP_879	F	59.68
DGRP_882	F	53.54
DGRP_887	F	48.04
DGRP_890	F	50.79
DGRP_892	F	51.42
DGRP_894	F	61.54
DGRP_900	F	46.71
DGRP_907	F	60.44
DGRP_908	F	47.29
DGRP_911	F	37.68
DGRP_913	F	56.61
