FID	IID	Arya_Longevity_M_M
line_21	line_21	38.43
line_26	line_26	42.06
line_28	line_28	43.28
line_32	line_32	43.75
line_38	line_38	65.87
line_40	line_40	51.28
line_42	line_42	50.52
line_45	line_45	46.79
line_48	line_48	54.44
line_49	line_49	56.12
line_59	line_59	43.89
line_69	line_69	36.54
line_73	line_73	50.16
line_75	line_75	53.50
line_83	line_83	52.00
line_85	line_85	51.65
line_88	line_88	55.28
line_91	line_91	41.42
line_93	line_93	44.96
line_100	line_100	71.88
line_101	line_101	63.25
line_105	line_105	63.05
line_109	line_109	51.58
line_129	line_129	62.72
line_136	line_136	63.54
line_138	line_138	38.08
line_158	line_158	58.74
line_208	line_208	46.44
line_217	line_217	55.57
line_223	line_223	47.29
line_229	line_229	65.35
line_239	line_239	61.39
line_301	line_301	56.92
line_303	line_303	58.04
line_304	line_304	85.42
line_306	line_306	62.65
line_307	line_307	47.52
line_309	line_309	59.79
line_313	line_313	79.63
line_315	line_315	57.48
line_317	line_317	52.07
line_318	line_318	55.76
line_319	line_319	50.21
line_321	line_321	51.00
line_324	line_324	37.72
line_325	line_325	45.92
line_332	line_332	48.48
line_335	line_335	53.00
line_336	line_336	52.39
line_338	line_338	56.73
line_350	line_350	58.39
line_354	line_354	47.73
line_357	line_357	48.72
line_358	line_358	55.17
line_359	line_359	44.13
line_360	line_360	54.96
line_361	line_361	44.60
line_362	line_362	63.08
line_365	line_365	63.48
line_370	line_370	46.75
line_373	line_373	65.35
line_375	line_375	61.36
line_379	line_379	41.20
line_380	line_380	45.81
line_383	line_383	54.08
line_390	line_390	45.80
line_391	line_391	43.09
line_397	line_397	52.91
line_399	line_399	56.83
line_406	line_406	65.68
line_427	line_427	57.68
line_437	line_437	67.05
line_440	line_440	57.08
line_443	line_443	51.21
line_486	line_486	62.33
line_492	line_492	56.57
line_517	line_517	45.67
line_528	line_528	46.86
line_555	line_555	57.61
line_566	line_566	50.58
line_589	line_589	41.71
line_627	line_627	62.20
line_639	line_639	68.74
line_703	line_703	17.65
line_705	line_705	67.27
line_707	line_707	46.74
line_712	line_712	39.71
line_714	line_714	66.00
line_721	line_721	44.79
line_730	line_730	56.36
line_732	line_732	56.50
line_737	line_737	44.08
line_738	line_738	51.36
line_748	line_748	42.96
line_757	line_757	27.91
line_761	line_761	46.78
line_765	line_765	30.57
line_774	line_774	59.35
line_776	line_776	46.16
line_786	line_786	48.44
line_787	line_787	50.36
line_790	line_790	37.75
line_796	line_796	38.72
line_799	line_799	59.91
line_801	line_801	52.87
line_802	line_802	52.39
line_804	line_804	40.70
line_805	line_805	46.09
line_808	line_808	44.16
line_812	line_812	47.28
line_819	line_819	44.08
line_820	line_820	42.80
line_822	line_822	55.50
line_837	line_837	73.16
line_849	line_849	48.68
line_852	line_852	57.96
line_853	line_853	50.70
line_855	line_855	60.24
line_857	line_857	67.87
line_859	line_859	52.52
line_861	line_861	57.48
line_879	line_879	56.08
line_882	line_882	54.76
line_887	line_887	49.20
line_890	line_890	41.13
line_892	line_892	52.48
line_894	line_894	57.52
line_900	line_900	49.85
line_907	line_907	52.43
line_908	line_908	47.67
line_911	line_911	45.61
line_913	line_913	61.10
